level,word,pronounciation,meaning,Example
Level 2,voice,voys,noun: the sound or sounds you make with your mouth when you speak or sing,You've got such a soft voice that I can only just hear you.
Level 2,wardrobe,wawd-rohb,noun: a large cupboard where you hang your clothes,Mum hid our Christmas presents in the wardrobe.
Level 2,weapon,wep-uhn,"noun: an instrument used in fighting, such as a gun or a knife",The police managed to grab the thief's weapon before anyone was hurt.
Level 2,wetsuit,wet-sooht,noun: a tight rubber piece of clothing worn by divers and surfers to keep in body heat,None of the surfers were wearing a wetsuit because the weather was so hot.
Level 2,whale,wayl,noun: a very large sea mammal,A huge whale surfaced right next to our boat.
Level 2,wheel,weel,"noun: a circular frame or solid disc turning on an axle, used in machinery and on vehicles",My bike needed a new wheel after I crashed into a tree.
Level 2,whine,wuyn,verb: to complain all the time,"When my little brother starts to whine, we know he's getting tired."
Level 2,wily,wuy-lee,adjective: crafty or cunning,The wily fox snuck past the dog to get to the chicken coop.
Level 2,windmill,wind-mil,noun: a mill for grinding or pumping which is set moving by the wind turning a set of arms or sails,We climbed the ladder on the side of the windmill to see how close we were to the homestead.
Level 2,windpipe,wind-puyp,noun: the tube that carries air from the throat to the lungs,The doctors were attempting to clear the obstruction in the patient's windpipe.
Level 2,wingspan,wing-span,"noun: the distance between the wingtips of an aeroplane, bird, or insect",The wingspan of a wedge-tailed eagle is enormous.
Level 2,wishful,wish-fuhl,adjective: desirous or longing,I started having wishful thoughts about what would be good birthday presents.
Level 2,wonderful,wun-duh-fuhl,adjective: extremely good or excellent,My dad is a wonderful cook -- he makes the best lasagne!
Level 2,wrist,rist,noun: the joint where the hand meets the arm,The nurse put two fingers on his wrist to feel his pulse.
Level 2,casting,kah-sting,"noun: the selection of actors for a play, film, etc.",The casting for the new film is being done entirely in Australia.
Level 2,clef,klef,noun: a symbol placed on a line of music that shows the height or pitch of the notes,The alto saxophone plays in the treble clef but the tenor saxophone plays in the bass clef.
Level 2,coda,koh-duh,"noun: a passage at the end of a musical composition, bringing it to a satisfactory close",This concerto by Mozart ends with a beautiful coda.
Level 2,creative,kree-ay-tiv,adjective: good at making or inventing things,She is very creative and makes beautiful jewellery.
Level 2,kiln,kiln,noun: a big oven or furnace for baking bricks or pottery,We needed to place the pottery into the kiln for it to set properly.
Level 2,Lawson,law-suhn,noun: an Australian writer of verse and prose who was born in 1867 and died in 1922,Australian writer Henry Lawson is best known for his depiction of Australian bush life.
Level 2,movement,moohv-muhnt,noun: the main division or section of a long piece of music,The first movement in a symphony is usually the most complex.
Level 2,myth,mith,"noun: an ancient traditional story, often about gods and supernatural events, that was used to explain natural events such as the weather",Our teacher read us an ancient Greek myth about how the stars were formed.
Level 2,opera,op-ruh,noun: a play that is sung to music,Luckily I know the story of this opera because it is sung in Italian and I can only speak English.
Level 2,picture,pik-chuh,"noun: a drawing, painting, photograph or something similar",I gave my dad a birthday card with a picture of a boat on it.
Level 2,puppet,pup-uht,"noun: a doll or figure of some kind which is moved by wires or your hand, usually on a small stage",If you didn't look too closely you couldn't tell that the puppet had strings attached.
Level 2,saga,sah-guh,noun: a long novel about the lives of a family or group of people,The saga of a Viking voyage was an interesting read.
Level 2,scene,seen,noun: one of the divisions of a play,The murder occurs in the first scene of the play.
Level 2,semitone,sem-ee-tohn,noun: the smallest interval in the chromatic scale of Western music,The chromatic scale goes up or down by a semitone at a time.
Level 2,stanza,stan-zuh,noun: a group of lines of poetry,The poem had four lines in each stanza.
Level 2,statue,stach-ooh,"noun: an image of a person or animal made out of stone, wood or bronze",We often picnic near the statue of Banjo Paterson in the park.
Level 2,style,stuyl,"noun: a particular kind or type, especially of music, art, architecture and so on",Rap is his favourite style of music to dance to.
Level 2,tango,tang-goh,"noun: a dramatic dance from South America, danced by couples",We each found a partner and learned how to dance the tango.
Level 2,tempo,tem-poh,noun: the speed of a piece of music,The music had a very fast tempo.
Level 2,topic,top-ik,noun: the thing that you are talking about,The topic we like to discuss most at school is dinosaurs.
Level 2,translate,tranz-layt,verb: to change from one language into another,I want to learn how to translate books from my language into other ones.
Level 2,viola,vee-oh-luh,"noun: a stringed instrument played with a bow, like a violin but a little bigger",There were two viola players in the orchestra.
Level 2,woodwind,wood-wind,"noun: the group of musical wind instruments that includes the flutes, clarinets, saxophones, oboes and bassoons",She sits in the woodwind section of the orchestra because she plays the flute.
Level 2,apricot,ay-pree-kot,"noun: a small, round, orange-yellow fruit",I always find it hard to taste the difference between an apricot and a peach.
Level 2,cherry,che-ree,"noun: a small juicy fruit with a stone in the middle, varying in colour from pink to black",The cafe served the cake with a single cherry on each slice.
Level 2,famine,fam-uhn,"noun: a serious shortage of food, often caused by drought",The lack of rain led to a famine throughout the country.
Level 2,flour,flow-uh,"noun: a fine powder made from rice, wheat, or other grain and used in cooking",We always use self-raising flour to make pancakes.
Level 2,fruit,frooht,"noun: the edible part which grows from the flowers of trees and plants, such as apples, oranges, pineapples, and many others",It is good to eat fresh fruit with your meal.
Level 2,galley,gal-ee,noun: a kitchen on a ship or plane,The ship's cook prepared meals for the whole crew in a tiny galley.
Level 2,kettle,ket-uhl,"noun: a container with a spout, a lid and a handle, used for boiling water",I knew the water had boiled when the kettle started whistling.
Level 2,onion,un-yuhn,"noun: a vegetable with a white, brown or purple skin and a strong smell and taste, used in cooking",He chopped up an onion and put it on the barbecue.
Level 2,pepper,pep-uh,"noun: a spice with a hot taste, made from the dried fruit of a tropical plant","My meal was a little bland, so I added some salt and pepper."
Level 2,pickle,pik-uhl,noun: an onion or other vegetable preserved in vinegar or salt water,I ordered a hamburger but without the pickle.
Level 2,ramen,rah-muhn,"noun: (in Japanese cookery) a dish of Chinese-style wheat-flour noodles, served in soup with meat, vegetables, etc.",The ramen at that Japanese restaurant is so good that people queue outside.
Level 2,rissole,riss-ohl,noun: a fried ball or small cake of chopped up food,The leftover rissole would make a tasty snack.
Level 2,sugar,shoog-uh,noun: a sweet substance made mainly from cane and beet and used widely in food,"If your tea isn't sweet enough, put some more sugar in it."
Level 2,tangy,tang-ee,adjective: having a sharp flavour or smell,The lemon cake had a nice tangy flavour.
Level 2,thirsty,ther-stee,adjective: to have a dry feeling in your mouth and throat because you need something to drink,Hannah was always very thirsty after her ballet lesson.
Level 2,yeast,yeest,noun: a substance which causes the dough to rise when you make bread,We always have some dried yeast in the cupboard for making buns.
Level 2,Asia,ay-zhuh,"noun: the largest continent, bounded by Europe and the Pacific, Arctic, and Indian oceans",Asia is the largest of the seven continents.
Level 2,atoll,at-ol,noun: a coral island with a saltwater lagoon in the middle,We enjoyed swimming in the lagoon within the atoll.
Level 2,Brazil,bruh-zil,"noun: a republic in central and north-eastern South America, the fifth largest country in the world",Soccer is a very popular sport in Brazil.
Level 2,bushfire,boosh-fuy-uh,noun: a big fire in the bush or forest,Several houses were destroyed before the firefighters could control the bushfire.
Level 2,canyon,kan-yuhn,noun: a deep valley with steep sides,Everything at the bottom of the canyon looks very small.
Level 2,cavern,kav-uhn,noun: a large cave,The bushwalkers' voices echoed in the huge cavern.
Level 2,delta,del-tuh,noun: the flat rich land between outspreading river branches at the mouth of a river,Mosquitoes abound in the river's delta of muddy islands and waterways.
Level 2,desert,dez-uht,noun: a sandy or stony place without enough rainfall to grow many plants,It very rarely rains in the desert.
Level 2,Greece,grees,"noun: a republic in south-eastern Europe, consisting of the southern part of the Balkan peninsula and many islands in the Mediterranean Sea",The Olympic Games originated in Greece and were held in honour of the god Zeus.
Level 2,India,in-dee-uh,"noun: a republic in southern Asia, lying south of the Himalayas, with Pakistan to the north-west, Bangladesh to the north-east",Travelling through India by train is a rich and varied experience.
Level 2,island,uy-luhnd,noun: a piece of land completely surrounded by water,We rowed out to the island in the middle of the lake.
Level 2,landslide,land-sluyd,noun: the sliding down of a mass of rocks and soil from a steep slope,The landslide blocked both the road and the train tracks.
Level 2,magma,mag-muh,noun: the very hot molten rock under the solid crust of the earth's surface,"When it reaches the earth's surface, magma is called lava."
Level 2,nature,nay-chuh,"noun: the world around us, made up of earth, sky and sea, along with animals and plants, especially when untouched by human beings",My dad said we should go outside to experience nature instead of watching programs about it on television.
Level 2,Samoa,suh-moh-uh or sah-moh-uh,noun: a group of islands in the southern Pacific,Rugby Union is the national football code of Samoa.
Level 2,sleet,sleet,noun: snow or hail and rain falling together,The sleet outside made it dangerous to drive on the roads.
Level 2,Sweden,swee-duhn,"noun: a kingdom in north-western Europe, in the eastern part of the Scandinavian peninsula, bordered by Finland and Norway",The kingdom of Sweden is built on fourteen islands and has more than fifty bridges.
Level 2,Tonga,tong-uh or tong-guh,"noun: a kingdom in the south-western Pacific Ocean, consisting of 169 islands",The kingdom of Tonga is also known as the Friendly Islands.
Level 2,tundra,tun-druh,"noun: a treeless arctic plain with mosses, lichens and small plants",The frozen tundra seemed to extend forever.
Level 2,Aldrin,awl-druhn,"noun: born 1930, US astronaut; as a crew member of Apollo 11, the second person to walk on the moon",Buzz Aldrin was the second person in history to walk on the moon.
Level 2,concave,kon-kayv or kon-kayv,adjective: hollow and curved like the inside of a circle,The concave mirrors in the sideshow made us look short and round.
Level 2,cosmos,koz-mos,noun: the physical universe,Scientists still don't know for sure how many stars are in the cosmos.
Level 2,database,day-tuh-bays or dah-tuh-bays,"noun: information stored in a computer, organised to make it easy to find a particular part",Don't worry if you can't find last month's report -- I can always retrieve the information from the database.
Level 2,gradient,gray-dee-uhnt,"noun: the amount of slope or steepness in a road, railway or path",The gradient of the hill made it too steep for me to climb.
Level 2,litre,lee-tuh,noun: a measure of liquid in the metric system,The container holds one litre of milk.
Level 2,measure,mezh-uh,noun: an agreed unit or standard,A litre is a measure of volume.
Level 2,Newton,nyooh-tuhn,"noun: an English scientist, mathematician, and philosopher, who was born in 1642 and died in 1727",I need to understand the laws of gravity and motion formulated by Sir Isaac Newton to pass my physics exam.
Level 2,oblong,ob-long,"noun: a four-sided shape which is longer than it is wide, and which has four right angles",The swimming pool was in the shape of an oblong.
Level 2,password,pahs-werd,noun: a secret word or expression used to obtain entry to something such as a restricted area or to a computer system,You need a password for nearly everything these days -- it's hard to remember them all!
Level 2,planet,plan-uht,noun: any of the large bodies in space revolving around a star,Astronauts have landed on the moon but no-one has yet stood on another planet.
Level 2,refresh,ruh-fresh,verb: to update the image on a computer screen,You may need to refresh the screen to see the latest data.
Level 2,Saturn,sat-ern or sa-tn,"noun: the second largest planet, the sixth in order from the sun, having an extensive ring system","You are probably more familiar with Saturn the planet than Saturn the Roman god, but the planet was named after him."
Level 2,terminal,ter-muh-nuhl,noun: a point where an electrical current enters or leaves a piece of electrical equipment,A battery has a positive terminal and a negative terminal.
Level 2,volume,vol-yoohm,"noun: the size, measure, or amount of anything in three dimensions",We had to calculate the volume of the parcel before we could send it.
Level 2,width,width,noun: extent from side to side,The river reaches its greatest width right here -- it takes a strong swimmer to reach the other side.
Level 2,arrow,a-roh,noun: a thin pointed weapon shot from a bow,"The arrow hit a tree, missing the target completely."
Level 2,backstroke,bak-strohk,noun: a stroke in swimming in which you lie on your back in the water and move your arms backwards in turn,Our school sports team won the swimming championship in backstroke.
Level 2,baseball,bays-bawl,"noun: a game played by two teams with a bat and a ball, on a field with four bases which the batter must pass to score a run",Baseball is probably the favourite sport of Americans.
Level 2,billycart,bil-ee-kaht,noun: a toy four-wheeled cart made at home and ridden on by children as a form of amusement,You have to wear a helmet if you want to race your billycart.
Level 2,canoe,kuh-nooh,"noun: a light, narrow boat that you move by using paddles",We paddled across the lake in a canoe.
Level 2,cosplay,koz-play or kos-play,"noun: the activity of dressing up as characters from literature, comic strips, television shows, video games, etc.","When we do cosplay, I like to dress up as Wonder Woman."
Level 2,enjoy,en-joy,verb: to get pleasure from something,I really enjoy science fiction films.
Level 2,hobby,hob-ee,noun: something that you enjoy doing in your spare time,Playing an instrument is a hobby that takes lots of practice.
Level 2,picnic,pik-nik,"noun: a meal eaten in the open air, usually in pleasant surroundings such as the country, a park or beach","We packed some sandwiches, fruit, a cake and some drinks for our picnic."
Level 2,pontoon,pon-toohn,noun: a floating structure used to support a temporary bridge or as a place where boats can tie up,We had a swimming race out to the pontoon and back.
Level 2,rugby,rug-bee,noun: one of the types of football played in Australia,There are two varieties of rugby -- league and union.
Level 2,sailor,say-luh,"noun: someone who sails a boat, or whose job is to work on a ship",I dream of being a sailor but since I always get seasick I don't think that will ever happen!
Level 2,skiff,skif,"noun: any of various types of small boat, usually propelled by oars or sails",I only take the skiff out on the water when the weather is calm.
Level 2,sprint,sprint,"verb: to race at top speed, especially over a short distance","I can sprint really quickly, but I get tired over longer distances."
Level 2,stadium,stay-dee-uhm,"noun: a large sports ground, designed to hold many people",We are going to the stadium to watch the tennis.
Level 2,tennis,ten-uhs,"noun: a game in which two players, or two pairs of players, use racquets to hit a ball over a central net",We play tennis every Sunday morning unless it rains.
Level 2,travel,trav-uhl,"verb: to go from one place to another, often over a long distance","When I grow up, I'm going to travel around the world."
Level 2,windsurf,wind-serf,verb: to ride on a windsurfer,"The resort has facilities to play golf, tennis, windsurf or just laze by the pool."
Level 3,ability,uh-bil-uh-tee,noun: the power to do something,"After all of my lessons, I finally have the ability to swim the full length of the pool."
Level 3,abolish,uh-bol-ish,verb: to put an end to something,The parliament passed a law to abolish capital punishment.
Level 3,absolute,ab-suh-looht,adjective: something that is complete or perfect,There was absolute silence in the early hours of the morning.
Level 3,absolve,uhb-zolv,"verb: to free someone from blame, guilt, punishment, a duty, etc.",We absolve you from responsibility in this instance.
Level 3,accept,uhk-sept,verb: to receive something willingly,I am honoured to accept this award.
Level 3,access,ak-sess,noun: the right of coming to someone or something,Do you have access to the library?
Level 3,accomplish,uh-kum-plish or uh-kom-plish,verb: to carry out something successfully,My sister is determined to accomplish her ambition to become a pilot.
Level 3,ache,ayk,noun: a dull continuous pain,I have an ache across my shoulders from playing too much tennis yesterday.
Level 3,acre,ay-kuh,noun: a large area of land in the imperial system of measurement that is equal to almost half a hectare,Their old house sat on a quarter of an acre of land.
Level 3,address,uh-dress or ad-ress,noun: the number of the house and the name of the street and town where a person lives,Write the address clearly on the front of the letter.
Level 3,adept,uh-dept,adjective: skilful,He is a reasonably adept tennis player.
Level 3,adverse,ad-vers or uhd-vers,adjective: threatening or hostile,His new book was subject to adverse criticism.
Level 3,agitated,aj-uh-tayt-uhd,adjective: nervous and upset,He was too agitated to open the letter which contained his exam results.
Level 3,ailment,ayl-muhnt,noun: an illness,She has a serious ailment and needs ongoing treatment.
Level 3,alibi,al-uh-buy,noun: a defence by someone that they were somewhere else when a crime was committed,The police no longer considered me a suspect because I had an alibi.
Level 3,alley,al-ee,noun: a narrow space between buildings where people can walk through,There was nothing to be seen in the alley except a few bins and a couple of stray cats.
Level 3,alphabet,al-fuh-bet,noun: all the letters of a language arranged in their usual order,My little sister has just learned to say the alphabet.
Level 3,ambition,am-bish-uhn,"noun: strong desire for something in the future, especially money or fame","Because of his ambition, he wanted to be best in everything he attempted."
Level 3,animated,an-uh-may-tuhd,adjective: lively or full of life,She was an enthusiastic teacher with an animated way of speaking.
Level 3,announce,uh-nowns,verb: to make known publicly,We planned to announce the news of our engagement at the party tonight.
Level 3,antelope,ant-uh-lohp,"noun: a fast animal with horns, related to cattle, sheep and goats",The antelope was being stalked by the lion.
Level 3,apology,uh-pol-uh-jee,noun: an expression of regret or sadness that you offer when you have done something wrong,It was important that he accepted my apology.
Level 3,appoint,uh-poynt,verb: to nominate or assign to a position,The education department decided to appoint a new principal for our school.
Level 3,arduous,ah-jooh-uhs,adjective: needing a lot of hard work,Isaac complained about the arduous walk home up the hill.
Level 3,argument,ah-gyuh-muhnt,noun: a disagreement,They had an argument over who was the better cook.
Level 3,arrange,uh-raynj,verb: to put in order,I like to arrange my books by subject -- not by alphabetical order.
Level 3,ashen,ash-uhn,adjective: grey or ash-coloured,Her face was ashen when she heard the terrible news.
Level 3,astonish,uh-ston-ish,verb: to surprise greatly,Milly hoped to astonish her parents by getting full marks in her exam.
Level 3,astute,uhs-tyooht,adjective: having clear and quick understanding,She had an astute comprehension of the complexities involved.
Level 3,attempt,uh-tempt,verb: to try to do something,I'm going to attempt to beat my personal best in tomorrow's race.
Level 3,attire,uh-tuy-uh,noun: clothes or apparel,Aunty Dot always wore strange attire.
Level 3,auburn,aw-buhn,adjective: reddish-brown,Her auburn hair was the colour of autumn leaves.
Level 3,auditor,aw-duh-tuh,noun: a person appointed to examine accounting records,An auditor came to review the company's tax records.
Level 3,aversion,uh-verzh-uhn,noun: a strong dislike,I have an aversion to the colour pink.
Level 3,axle,ak-suhl,noun: a thin stick of metal or wood that goes through the middle of a wheel and joins it to something,Dad had to call a tow truck because our car had a broken axle.
Level 3,badger,baj-uh,"noun: an animal found in Europe and America, which has a white mark on its head and which lives in a hole in the ground",In Australia you would only see a badger in a zoo.
Level 3,bandicoot,ban-dee-kooht,"noun: a rat-like Australian marsupial which feeds at night on insects, worms and plant roots",Dad was not happy because a bandicoot had dug up part of his vegetable garden in the night.
Level 3,beacon,bee-kuhn,noun: a signal which shows the way or warns of danger,The lighthouse's beacon had prevented many shipwrecks.
Level 3,beautiful,byooh-tuh-fuhl,"adjective: attractive and enjoyable to look at, hear, taste, smell or feel","It is such beautiful weather, it is a crime to stay indoors."
Level 3,befuddle,bee-fud-uhl,"verb: to confuse, as with smooth-sounding argument",The technical language in the instruction manual managed to befuddle me very quickly.
Level 3,belated,bee-lay-tuhd,adjective: late,"My birthday was in the middle of the exams, so I had a belated party."
Level 3,benign,buh-nuyn,adjective: kind and gentle,Her benign smile put the nervous children at ease.
Level 3,blustery,bluss-tuh-ree,"adjective: characterised by gusts of wind, rain squalls, and so on",The blustery weather made it unpleasant to be outside.
Level 3,bothersome,bodh-uh-suhm,adjective: annoying or troublesome,We all found the mosquitoes very bothersome.
Level 3,bounty,bown-tee,noun: a reward given for a special purpose,There's a bounty for information about the hiding place of the outlaws.
Level 3,breathe,breedh,verb: to take in and give out air,While we were hiding we had to breathe very quietly.
Level 3,buffalo,buf-uh-loh,noun: a kind of ox sometimes used for pulling heavy loads,The buffalo is often used for heavy farm work in India.
Level 3,buoy,boy,"noun: a floating object anchored in the water, marking a point in a sailing or swimming race",We swam around the buoy and then back to the shore.
Level 3,cabana,kuh-bah-nuh,"noun: a cabin, cottage or hut",These days it is fashionable to have a cabana by the swimming pool.
Level 3,callus,kal-uhs,noun: a hard thick part of your skin caused by something rubbing against it,I developed a callus on my thumb from the handle of my tennis racquet.
Level 3,canopy,kan-uh-pee,noun: an ornamental or protective covering,They put up a canopy over the tables in case it rained.
Level 3,carriage,ka-rij,noun: one of the passenger-carrying cars on a train,We ran along the platform trying to find a carriage with spare seats.
Level 3,casual,kazh-yooh-uhl,adjective: informal and relaxed,The first thing I do when I get home from school is to change into casual clothes.
Level 3,caution,kaw-shuhn,noun: great care when there is danger,People are advised to use caution when near fire.
Level 3,ceiling,see-ling,noun: the inside lining that covers the top of a room,An old chandelier hung from the ceiling.
Level 3,certainty,ser-tuhn-tee,noun: the condition of being sure,The student spoke about the topic he had studied with certainty.
Level 3,certificate,suh-tif-uh-kuht,noun: a written paper stating certain facts,"When you start at a new school, you have to show your birth certificate."
Level 3,chariot,cha-ree-uht,noun: a two-wheeled carriage used in ancient times,The actor had to learn to control a chariot for his role in the film about ancient Rome.
Level 3,chlorine,klaw-reen,noun: a greenish-yellow gas which is dissolved in water and used to keep swimming pools clean,"After I've been swimming in the pool, my hair smells of chlorine."
Level 3,chortle,chaw-tuhl,verb: to chuckle loudly with amusement,The crowd began to chortle as soon as the comedian walked onto the stage.
Level 3,cockatoo,kok-uh-tooh,noun: a crested parrot,He taught his pet cockatoo to whistle the national anthem.
Level 3,cocoon,kuh-koohn,noun: the silky covering spun by the larvae of many insects,We found a cocoon hanging from some leaves while we were out picking flowers.
Level 3,coincide,koh-uhn-suyd,"verb: to happen together, usually by chance",I timed my arrival to coincide with his.
Level 3,colleague,kol-eeg,noun: someone you work with,She had a meeting with a colleague to discuss the new plans.
Level 3,comparable,kom-puh-ruh-buhl or kuhm-pa-ruh-buhl,adjective: able to be compared,"Both websites contain comparable information, but this one presents it better."
Level 3,compelling,kuhm-pel-ing,adjective: holding your attention forcefully,My grandma said that the afternoon soap opera was compelling drama.
Level 3,complaint,kuhm-playnt,"noun: an expression of dissatisfaction, blame or pain",We made a complaint about the long delay.
Level 3,composure,kuhm-poh-zhuh,noun: calmness of mind,We were impressed with her composure when someone spilt a drink on her new white dress.
Level 3,compulsive,kuhm-pul-siv,adjective: unable to break a given habit,She is a compulsive reader when it comes to crime novels.
Level 3,concept,kon-sept,noun: a general idea or understanding of something,He found it hard to grasp the concept of gravity.
Level 3,condemn,kuhn-dem,verb: to strongly express disapproval of something,The government moved quickly to condemn the actions of the vandals.
Level 3,curtail,ker-tayl,verb: to cut short,We had to curtail our holiday because of the floods.
Level 3,decipher,duh-suy-fuh,verb: to solve or find the meaning of something,"After years of trying, they finally managed to decipher the code."
Level 3,deluge,del-yoohj or del-yoohzh,noun: a very heavy fall of rain,We all got soaked in the sudden deluge.
Level 3,destitute,des-tuh-tyooht,adjective: without money or the means of getting any,The theft of his wallet and belongings left the traveller destitute.
Level 3,dilemma,duh-lem-uh or duy-lem-uh,noun: a difficult situation in which you have to choose between two different things,His dilemma was that if he went to the football game he would miss the party.
Level 3,diligent,dil-uh-juhnt,adjective: paying careful attention,I found my missing keys after a diligent search.
Level 3,docile,doh-suyl,adjective: quiet and easily handled,We were allowed to feed carrots to the docile horse.
Level 3,economical,ek-uh-nom-i-kuhl or ee-kuh-nom-i-kuhl,adjective: not wasteful,There is not a lot of money left so we will have to be economical.
Level 3,emporium,em-paw-ree-uhm,noun: a large store selling a great variety of goods,We found all kinds of goods for sale in the emporium.
Level 3,faculty,fak-uhl-tee,noun: one of the powers that you are born with,Hearing is a very important faculty.
Level 3,feud,fyoohd,"noun: a bitter, long-lasting disagreement, especially between two families",The feud between the two chieftains' families lasted for centuries.
Level 3,forgery,faw-juh-ree,noun: the crime of making an imitation and passing it off as genuine,The museum discovered the ancient scroll was actually a forgery!
Level 3,fortify,faw-tuh-fuy,"verb: to make a place strong so as to resist attack, damage and other harmful things",They built strong walls to fortify the castle.
Level 3,gaiety,gay-uh-tee,noun: cheerfulness or high spirits,There was a feeling of gaiety and happiness at the party.
Level 3,gaudy,gaw-dee,adjective: bright and attracting attention,Her gaudy outfit stood out in the crowd.
Level 3,genial,jee-nee-uhl,adjective: warm and friendly in manner,My aunt is a genial person and everybody loves her.
Level 3,impediment,im-ped-uh-muhnt,noun: an obstruction or obstacle,The lack of funding was the biggest impediment to our research.
Level 3,incongruous,in-kong-grooh-uhs,adjective: out of place or unsuitable,His old T-shirt looked incongruous with his new suit.
Level 3,infectious,in-fek-shuhs,adjective: spread by germs being transmitted through the air or in a liquid,Cholera is caused by drinking water that is contaminated with a bacterium which becomes highly infectious when passing through the human body.
Level 3,infinite,in-fuh-nuht,adjective: endless or having no limits,Once we lost sight of the shore the ocean seemed infinite.
Level 3,influenza,in-flooh-en-zuh,noun: a sickness caused by a virus which affects the nose and throat and causes high temperatures and tiredness,Some people have vaccinations against influenza each year.
Level 3,innocent,in-uh-suhnt,adjective: free from any wrong,James persisted that he was innocent when his mum accused him of leaving the milk out of the fridge.
Level 3,insincere,in-sin-sear,adjective: not honest in expressing feeling,Everyone thought she was insincere with her apology.
Level 3,insipid,in-sip-uhd,adjective: not having much taste,Mum said that her coffee was rather insipid and asked for it to be stronger next time.
Level 3,integrity,in-teg-ruh-tee,noun: honesty and trustworthiness,The governor was respected for his great integrity.
Level 3,intercept,in-tuh-sept,verb: to catch or stop something as it goes from one place to another,I was able to intercept the ball just before it touched the ground.
Level 3,intrigue,in-treeg,verb: to interest or make curious,My sister knew the oddly shaped parcel would intrigue me.
Level 3,jaguar,jag-yooh-uh,"noun: a large, fierce, spotted cat found in tropical South America",My favourite animal in the zoo is the jaguar.
Level 3,jasmine,jaz-muhn,noun: a shrub or climbing plant with sweet-smelling flowers,We have jasmine growing over our fence.
Level 3,jocular,jok-yuh-luh,adjective: joking or playful,There were a few jocular references to his similarity to Santa Claus.
Level 3,knight,nuyt,"noun: in medieval times, a man of noble birth who promised to serve and fight for a king",The film was about a brave knight who fought for King Arthur.
Level 3,knoll,nol,"noun: a small, rounded hill",There was a hut on a little knoll between the two gullies.
Level 3,languish,lang-gwish,verb: to remain in an unpleasant or unwanted situation,My books were left to languish in the basement until I bought a new bookcase.
Level 3,lattice,lat-uhs,"noun: a frame made of crossed wooden strips, used as a screen or as a support for plants",The lattice was covered in jasmine.
Level 3,lectern,lek-tuhn,"noun: a reading desk, especially in a church",The minister gave his address from the lectern.
Level 3,levitate,lev-uh-tayt,"verb: to rise or float in the air, as if by magic",The magician made the rabbit levitate -- and everybody gasped to see it hanging in the air.
Level 3,liberal,lib-ruhl or lib-uh-ruhl,"adjective: tolerant, or accepting of the beliefs and opinions of other people",Her liberal approach suits her work with many different cultural groups.
Level 3,lightning,luyt-ning,noun: a sudden flash of light in the sky caused by electricity in the air during a storm,The tree split in half when it was struck by lightning.
Level 3,loathsome,lohdh-suhm,adjective: hateful or disgusting,Cleaning the muck from the bottom of my gumboots is always a loathsome job.
Level 3,logical,loj-ik-uhl,adjective: according to the principles of the science of reasoning,"Based upon logical reasoning, the scientists believed that life existed on other planets -- they just couldn't prove it."
Level 3,lorikeet,lo-ruh-keet,"noun: a small, brightly coloured parrot",A lorikeet flew onto our verandah and landed on my shoulder.
Level 3,luggage,lug-ij,noun: the bags and other containers you use when travelling,I was really annoyed that the airline had lost my luggage.
Level 3,magazine,mag-uh-zeen,"noun: a paper containing news, stories and advertisements, usually issued once a week or once a month","When I was sick, Mum bought me a magazine about horses."
Level 3,magistrate,maj-uhs-trayt,noun: someone who acts as a judge in some less important court cases,He had to appear before a magistrate for not paying his speeding fine.
Level 3,mannerism,man-uh-riz-uhm,noun: a habit of doing something which is slightly unusual,He has a funny little mannerism -- he pulls his ear every time he starts to speak.
Level 3,maritime,ma-ruh-tuym,adjective: having to do with ships and sailing,The maritime museum has a collection of pirate flags on display at the moment.
Level 3,meagre,mee-guh,adjective: small and not enough to satisfy,"To cut down on the amount we had to carry, we took only meagre supplies on our camp."
Level 3,merciless,mers-uh-luhs,adjective: without mercy or pity,The bandits made a merciless attack on the village.
Level 3,merriment,me-ree-muhnt,noun: hilarity or laughter,We could hear sounds of merriment coming from the pool.
Level 3,mischief,mis-chuhf,noun: behaviour meant to tease or annoy,My little brother had been up to mischief again -- there was a huge plastic spider in the bath!
Level 3,mobility,moh-bil-uh-tee,noun: the ability to move,"After the accident, she lost some mobility in her legs."
Level 3,mosquito,muh-skee-toh,"noun: a small flying insect, the female of which sucks the blood of animals and humans",There was one mosquito in the tent that kept me awake all night.
Level 3,naughty,naw-tee,adjective: badly behaved,The puppy wasn't allowed inside because he had been very naughty.
Level 3,negligent,neg-luh-juhnt,adjective: failing to take proper care over something,His negligent driving caused the accident.
Level 3,negotiate,nuh-goh-shee-ayt,verb: to arrange by discussion,The hotel had to negotiate a solution with neighbouring properties about the noise on Saturday nights.
Level 3,nocturnal,nok-ter-nuhl,"adjective: active or out by night, as certain birds, insects and flowers",Possums and bats are nocturnal animals.
Level 3,noticeable,noh-tuhs-uh-buhl,adjective: clear or apparent,There was nothing he could do about the noticeable pimple because it was right on the end of his nose!
Level 3,notional,noh-shuhn-uhl,adjective: having to do with or expressing a belief or idea,Her notional plan had merit but would take a lot of work to put it into practice.
Level 3,oblivion,uh-bliv-ee-uhn,noun: the condition of being forgotten,She used to be a popular writer but has now passed into oblivion.
Level 3,obsolete,ob-suh-leet,adjective: no longer being used,Some people think that posting letters will become obsolete as more and more people send emails and use social media.
Level 3,occupant,ok-yuh-puhnt,noun: someone who lives in or is established in a house or a room,She was the only occupant in the house when the blackout occurred.
